Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1683526536,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1683526537,10,,Aggregated,0.000000,0.000000,26,26,27,27,29,29,29,29,29,29,29,10,0,26,26.314810000000044,24.528000000000105,28.89230000000009,8688.0
1683526538,20,,Aggregated,0.000000,0.000000,25,26,26,26,27,29,29,29,29,29,29,20,0,19,21.465855000000023,15.09090000000013,28.89230000000009,8688.0
1683526539,30,,Aggregated,10.000000,0.000000,16,17,25,25,26,27,29,29,29,29,29,37,0,16,16.373227027027063,2.68170000000012,28.89230000000009,8688.0
1683526540,40,,Aggregated,10.000000,0.000000,16,18,18,25,26,27,29,62,62,62,62,55,0,16,15.47714909090908,2.6181000000002896,61.6816,8688.0
1683526541,50,,Aggregated,10.666667,0.000000,16,18,19,20,26,27,29,62,62,62,62,75,0,16,14.143258666666698,2.427599999999863,61.6816,8688.0
1683526542,60,,Aggregated,11.750000,0.000000,15,18,18,20,25,26,27,29,62,62,62,102,0,15,12.929176470588239,2.3433999999999955,61.6816,8688.0
1683526543,80,,Aggregated,13.200000,0.000000,15,17,18,18,21,26,27,29,62,62,62,137,0,15,11.488271532846689,2.2804999999994635,61.6816,8688.0
1683526544,90,,Aggregated,14.833333,0.000000,9,17,18,19,21,25,27,29,62,62,62,163,0,9,11.182275460122685,2.257399999999521,61.6816,8688.0
1683526545,100,,Aggregated,16.714286,0.000000,5,16,18,19,20,25,27,29,62,62,62,199,0,5,10.603071356783904,2.257399999999521,61.6816,8688.0
1683526546,110,,Aggregated,19.250000,0.000000,4,16,18,19,20,21,27,29,66,66,66,241,0,4,10.181887136929394,2.257399999999521,65.79279999999876,8688.0
1683526547,120,,Aggregated,20.333333,0.000000,4,15,17,18,20,21,26,29,66,66,66,284,0,4,9.593872535211235,2.257399999999521,65.79279999999876,8688.0
1683526548,130,,Aggregated,21.700000,0.000000,4,15,17,18,20,21,26,29,66,66,66,328,0,4,9.231666158536562,2.257399999999521,65.79279999999876,8688.0
1683526549,140,,Aggregated,24.700000,0.000000,4,13,16,17,19,21,26,29,66,66,66,377,0,4,8.736811671087521,2.0106000000001956,65.79279999999876,8688.0
1683526550,150,,Aggregated,28.700000,0.000000,4,8,16,17,19,20,26,29,66,66,66,429,0,4,8.472347086247082,2.0106000000001956,65.79279999999876,8688.0
1683526551,160,,Aggregated,31.500000,0.000000,4,6,15,16,19,20,26,29,66,66,66,477,0,4,8.21933417190775,2.0106000000001956,65.79279999999876,8688.0
1683526552,170,,Aggregated,35.100000,0.000000,4,5,15,16,18,20,26,27,66,66,66,535,0,4,7.979379065420551,2.0106000000001956,65.79279999999876,8688.0
